id,ratingCategory
3461,1
2604,1
3341,1
3764,1
2306,1
1438,1
2571,1
4148,1
4452,1
354,1
1709,1
3738,1
1791,1
2173,1
409,1
1258,1
4601,1
2093,1
3030,1
3496,1
120,1
708,1
4210,1
2566,1
3309,1
1855,1
2746,1
2126,1
2199,1
4631,1
4496,1
4441,1
4584,1
1203,1
1267,1
4181,1
3560,1
4929,1
2486,1
1695,1
2084,1
887,1
1336,1
4309,1
2387,1
5033,1
2903,1
4867,1
455,1
3365,1
3255,1
1014,1
4808,1
307,1
2374,1
4229,1
1505,1
2848,1
1431,1
484,1
602,1
4151,1
4918,1
4991,1
1425,1
2343,1
2916,1
2762,1
3245,1
1944,1
317,1
4493,1
4436,1
3886,1
3146,1
3729,1
4315,1
4014,1
1640,1
3856,1
4431,1
988,1
719,1
2844,1
1295,1
1405,1
3022,1
2878,1
1325,1
3971,1
4017,1
1244,1
3507,1
1829,1
164,1
4258,1
1186,1
2024,1
1530,1
2314,1
1416,1
2688,1
4740,1
1133,1
5075,1
4921,1
792,1
2615,1
2428,1
1396,1
847,1
940,1
1692,1
3007,1
4036,1
3579,1
3519,1
4770,1
4313,1
1198,1
1399,1
2021,1
1875,1
1165,1
5077,1
103,1
4291,1
4325,1
4312,1
3186,1
4931,1
3310,1
952,1
3761,1
3852,1
4542,1
3003,1
3520,1
285,1
4320,1
4940,1
895,1
3947,1
2527,1
2754,1
1652,1
2213,1
1683,1
486,1
1685,1
2453,1
2573,1
2677,1
2281,1
2348,1
3908,1
3582,1
4654,1
672,1
2875,1
3031,1
4112,1
1783,1
3377,1
3116,1
3052,1
4040,1
2737,1
3493,1
2073,1
4286,1
67,1
4553,1
542,1
1838,1
2186,1
2448,1
2752,1
1403,1
835,1
1144,1
848,1
2056,1
4116,1
4287,1
3530,1
4414,1
1656,1
3965,1
2106,1
4687,1
4897,1
2825,1
4703,1
3002,1
4422,1
2120,1
1112,1
2336,1
4819,1
1120,1
1073,1
4881,1
4668,1
4944,1
3791,1
4305,1
217,1
4003,1
1781,1
2047,1
3127,1
4671,1
2323,1
249,1
971,1
4333,1
2592,1
3151,1
3232,1
482,1
1058,1
1426,1
2884,1
1174,1
2845,1
2761,1
2300,1
3531,1
14,1
3772,1
1480,1
2212,1
4432,1
1082,1
290,1
2666,1
4093,1
2164,1
3423,1
3527,1
215,1
4576,1
1952,1
1988,1
1373,1
3414,1
2251,1
1243,1
4539,1
3690,1
266,1
3106,1
3465,1
5073,1
4915,1
6,1
4550,1
3614,1
2808,1
139,1
4155,1
1808,1
1673,1
4454,1
4413,1
214,1
3393,1
2919,1
359,1
3933,1
3562,1
982,1
3899,1
2656,1
27,1
2372,1
1355,1
1240,1
3256,1
41,1
2541,1
574,1
917,1
3376,1
268,1
3898,1
100,1
2841,1
2956,1
3594,1
3622,1
1202,1
1078,1
781,1
4066,1
2351,1
1647,1
4942,1
471,1
1993,1
3005,1
2690,1
459,1
2846,1
1137,1
4098,1
3887,1
4924,1
4653,1
2664,1
1364,1
4269,1
232,1
1445,1
1179,1
37,1
1115,1
1350,1
3590,1
977,1
1348,1
447,1
4857,1
1793,1
1255,1
239,1
4624,1
2995,1
2958,1
740,1
4317,1
3775,1
3042,1
4067,1
1787,1
2776,1
2922,1
3170,1
2532,1
421,1
3999,1
4791,1
1513,1
1696,1
1745,1
1763,1
284,1
1398,1
490,1
402,1
2469,1
2645,1
2476,1
4318,1
1789,1
812,1
4544,1
4789,1
4518,1
3122,1
3920,1
2717,1
1234,1
510,1
2525,1
3054,1
2225,1
2196,1
3072,1
4068,1
3544,1
4868,1
4087,1
2589,1
4830,1
1225,1
454,1
2370,1
894,1
4727,1
3691,1
4580,1
253,1
717,1
2354,1
3105,1
3997,1
4777,1
919,1
1316,1
3821,1
3929,1
2504,1
2827,1
1205,1
2122,1
2625,1
2437,1
3303,1
4467,1
4586,1
4146,1
4001,1
4091,1
4410,1
3104,1
3294,1
176,1
1887,1
963,1
2655,1
4239,1
3569,1
2691,1
3171,1
4893,1
3293,1
377,1
823,1
2142,1
2930,1
2017,1
2019,1
898,1
1982,1
431,1
4646,1
2151,1
761,1
4750,1
328,1
4174,1
1790,1
1624,1
1784,1
4195,1
3831,1
1639,1
3743,1
5052,1
5006,1
771,1
4898,1
3389,1
1750,1
1730,1
3258,1
1722,1
2395,1
1562,1
5041,1
1642,1
4713,1
757,1
3431,1
4346,1
775,1
3752,1
4715,1
2928,1
209,1
4732,1
1269,1
725,1
3993,1
710,1
2802,1
604,1
1735,1
1238,1
3940,1
2246,1
2488,1
3917,1
1930,1
3925,1
1266,1
1023,1
3379,1
4677,1
3655,1
4737,1
3366,1
225,1
4353,1
1633,1
3223,1
4908,1
1039,1
159,1
3207,1
4225,1
1515,1
4173,1
3412,1
3944,1
1194,1
1662,1
4073,1
3056,1
1379,1
2963,1
2915,1
3849,1
3217,1
254,1
1600,1
1349,1
4139,1
3734,1
3329,1
4062,1
3069,1
3786,1
2683,1
2537,1
1707,1
4900,1
3416,1
2783,1
2377,1
601,1
4956,1
4848,1
2181,1
180,1
2766,1
1417,1
1626,1
2299,1
3110,1
1248,1
1535,1
2217,1
1161,1
764,1
4861,1
4670,1
4701,1
3816,1
4398,1
5066,1
1555,1
3511,1
4833,1
1512,1
508,1
69,1
4829,1
86,1
4322,1
1954,1
3013,1
897,1
2696,1
2412,1
3515,1
1156,1
2710,1
5061,1
886,1
2679,1
758,1
3112,1
2382,1
325,1
1548,1
4063,1
1093,1
2723,1
4813,1
1322,1
4633,1
2247,1
2308,1
3567,1
5026,1
901,1
2680,1
2584,1
4990,1
2159,1
352,1
4340,1
3634,1
68,1
2031,1
3702,1
3679,1
3547,1
536,1
4499,1
2239,1
4855,1
3533,1
4440,1
629,1
2398,1
4338,1
4097,1
1116,1
3344,1
4522,1
1850,1
2111,1
2611,1
2581,1
394,1
2874,1
2392,1
4147,1
77,1
1047,1
4649,1
2107,1
3140,1
2908,1
1980,1
1509,1
1077,1
3176,1
3149,1
2216,1
2183,1
3765,1
4371,1
119,1
3598,1
570,1
4130,1
634,1
699,1
1181,1
1268,1
147,1
3455,1
31,1
1872,1
1289,1
247,1
4842,1
3866,1
4771,1
4124,1
21,1
724,1
1575,1
291,1
3334,1
1690,1
3757,1
1129,1
1123,1
122,1
1571,1
3390,1
4224,1
2614,1
1212,1
2600,1
1050,1
3181,1
5069,1
1755,1
3121,1
2296,1
5029,1
1220,1
902,1
1311,1
2158,1
4183,1
1708,1
4342,1
464,1
3008,1
1324,1
1583,1
925,1
4311,1
3742,1
4562,1
1245,1
1343,1
4717,1
620,1
613,1
1779,1
874,1
2893,1
3457,1
2575,1
1302,1
785,1
4847,1
4664,1
1523,1
1105,1
2550,1
2215,1
3283,1
4084,1
2938,1
1581,1
1785,1
3504,1
319,1
3661,1
420,1
32,1
2997,1
480,1
3860,1
3345,1
3790,1
3079,1
2071,1
390,1
5060,1
4401,1
4078,1
1260,1
1572,1
4092,1
1273,1
682,1
5106,1
2279,1
3134,1
1879,1
760,1
1304,1
4319,1
2049,1
1381,1
369,1
2490,1
2055,1
378,1
2881,1
1452,1
2582,1
3716,1
4190,1
888,1
2837,1
4526,1
2258,1
3782,1
3286,1
3731,1
2562,1
4625,1
2489,1
668,1
4141,1
2829,1
436,1
4862,1
4845,1
2008,1
2851,1
1411,1
4827,1
4242,1
3182,1
1698,1
4581,1
1440,1
589,1
753,1
3640,1
798,1
3290,1
1428,1
1337,1
1459,1
4613,1
4823,1
2657,1
3748,1
953,1
3312,1
3338,1
1394,1
2079,1
2872,1
2549,1
2998,1
416,1
4133,1
1557,1
1231,1
1228,1
2852,1
4869,1
3588,1
145,1
2860,1
479,1
3812,1
4960,1
850,1
3949,1
1494,1
4296,1
127,1
1151,1
1588,1
3035,1
2004,1
4362,1
2758,1
2624,1
4958,1
1463,1
3021,1
4792,1
2850,1
2161,1
3048,1
2648,1
923,1
4607,1
1621,1
4803,1
860,1
4904,1
4541,1
311,1
3403,1
2693,1
17,1
2132,1
2682,1
1942,1
4774,1
2769,1
3398,1
3132,1
4988,1
4483,1
3350,1
4235,1
4837,1
2555,1
1278,1
4341,1
4243,1
1592,1
4339,1
4316,1
2014,1
1648,1
1940,1
2309,1
2248,1
4119,1
3158,1
1069,1
1062,1
4863,1
2066,1
2554,1
558,1
71,1
2494,1
2271,1
4002,1
3705,1
2301,1
4933,1
1358,1
4079,1
4336,1
1256,1
99,1
2242,1
2467,1
3388,1
4277,1
192,1
1257,1
1241,1
1827,1
2078,1
4383,1
1670,1
3301,1
4206,1
1113,1
1756,1
3868,1
4946,1
4035,1
4735,1
183,1
1086,1
4373,1
3375,1
4197,1
4076,1
851,1
2035,1
2651,1
2991,1
2087,1
2519,1
562,1
88,1
576,1
3639,1
3474,1
3436,1
880,1
5101,1
4969,1
1617,1
376,1
1754,1
2320,1
3601,1
1778,1
3571,1
1900,1
2417,1
3878,1
1235,1
3895,1
456,1
4096,1
5042,1
2564,1
4525,1
3510,1
2813,1
1272,1
3193,1
2224,1
3386,1
571,1
4974,1
1978,1
2888,1
1011,1
1981,1
806,1
3500,1
2009,1
3499,1
4163,1
4730,1
2150,1
1949,1
4739,1
2960,1
2987,1
4540,1
1762,1
3924,1
496,1
4807,1
1481,1
544,1
3658,1
2487,1
2588,1
39,1
2712,1
1404,1
4115,1
3466,1
3513,1
2950,1
2263,1
1780,1
5056,1
1270,1
4951,1
2233,1
4433,1
3238,1
411,1
1207,1
4064,1
2854,1
3370,1
364,1
1057,1
1496,1
2434,1
3288,1
773,1
3383,1
4222,1
1441,1
1085,1
3964,1
4913,1
1725,1
3178,1
4561,1
1681,1
706,1
1646,1
4657,1
4702,1
3439,1
4462,1
3093,1
2873,1
4729,1
4973,1
1983,1
2028,1
48,1
2853,1
219,1
1286,1
2201,1
4019,1
